section,pdf_page,codebook_page,question_id,variable,length,label,question_text,notes,value_count
RECODED CONSUMPTION OF ALCOHOL,609,571,CADRKMARJ,CADRKMARJ2,1,RC-USED MARIJUANA WITH LAST ALCOHOL USE,,,3
RECODED CONSUMPTION OF ALCOHOL,609,571,CADRKCOCN,CADRKCOCN2,1,RC-USED COCAINE WITH LAST ALCOHOL USE,,,3
RECODED CONSUMPTION OF ALCOHOL,609,571,CADRKHERN,CADRKHERN2,1,RC-USED HEROIN WITH LAST ALCOHOL USE,,,3
RECODED CONSUMPTION OF ALCOHOL,609,571,CADRKHALL,CADRKHALL2,1,RC-USED HALLUCINOGENS WITH LAST ALCOHOL USE,,,3
RECODED CONSUMPTION OF ALCOHOL,609,571,CADRKINHL,CADRKINHL2,1,RC-USED INHALANTS WITH LAST ALCOHOL USE,,,3
RECODED CONSUMPTION OF ALCOHOL,609,571,CADRKMETH,CADRKMETH2,1,RC-USED METHAMPHETAMINE WITH LAST ALCOHOL USE,,,3
EMERGING ISSUES,610,572,CA15,CASUPROB1,2,THINK EVER HAD PROBLEM WITH OWN DRUG OR ALCOHOL USE,"The values in this section may be inconsistent with values for variables in other sections of the interview. Items in this section were edited when respondents legitimately skipped out of these items based on prior answers in earlier sections. Otherwise, variables in one section of the interview generally were not edited to make them consistent with variables in another section of the interview. This note applies to variables in this section marked by a1. Do you think you ever had a problem with your own drug or alcohol use?",,7
EMERGING ISSUES,610,572,CA16,CASURCVR1,2,THINK IN RECOVERY FROM DRUG OR ALCOHOL PROBLEM,At this time do you consider yourself to be in recovery or recovered from your own problem with drugs or alcohol use?,,7
EMERGING ISSUES,610,572,CA17,CAMHPROB1,2,THINK EVER HAD PROBLEM WITH OWN MENTAL HEALTH,Do you think you ever had a problem with your own mental health?,,7
EMERGING ISSUES,610,572,CA18,CAMHRCVR1,2,THINK IN RECOVERY FROM MENTAL HEALTH PROBLEM,At this time do you consider yourself to be in recovery or recovered from your own mental health problem?,,7
EMERGING ISSUES,611,573,KA01,KRATEVER,2,EVER USED KRATOM,"This next question is about kratom, which can come in forms such as powder, pills, or leaf. Have you ever, even once, used kratom?",,6
EMERGING ISSUES,611,573,KALAST3,KRATREC,2,TIME SINCE LAST USED KRATOM,How long has it been since you last used kratom?,,7
EMERGING ISSUES,611,573,VPANYLIF,VAPANYEVR,2,EVER VAPED ANYTHING WITH E-CIG OR OTHER VAPING DEVICE,"The next questions are about vaping with e-cigarettes or other vaping devices. These devices might also be called vape pens, personal vaporizers, or mods. People can vape nicotine or tobacco, marijuana, flavoring, or other substances. Have you ever, even once, vaped anything with an e-cigarette or other vaping device?",,6
EMERGING ISSUES,611,573,VPANYREC,VAPANYREC,2,TIME SINCE LAST VAPED ANYTHING,How long has it been since you last vaped anything with an e-cigarette or other vaping device?,,9
EMERGING ISSUES,612,574,VPNILIF,VAPNICEVR,2,EVER VAPED NICOTINE OR TOBACCO WITH E-CIG OR VAPING DEVICE,"The next questions are about vaping nicotine or tobacco. Have you ever, even once, vaped nicotine or tobacco with an e-cigarette or other vaping device?",,7
EMERGING ISSUES,612,574,"VPNIRECA, VPNIRECB",VAPNICREC,2,TIME SINCE LAST VAPED NICOTINE OR TOBACCO,How long has it been since you last vaped nicotine or tobacco with an e-cigarette or other vaping device?,,8
EMERGING ISSUES,612,574,VPMJLIF,VAPMRJEVR,2,EVER VAPED MARIJUANA WITH VAPING DEVICE,"The next questions are about vaping marijuana. Have you ever, even once, vaped marijuana with a vaping device?",,7
EMERGING ISSUES,612,574,"VPMJRECA, VPMJRECB",VAPMRJREC,2,TIME SINCE LAST VAPED MARIJUANA,How long has it been since you last vaped marijuana with a vaping device?,,8
EMERGING ISSUES,613,575,VPFLLIF,VAPFLVEVR,2,EVER VAPED ONLY FLAVORING WITHOUT NICOTINE/SUBSTANCE,"The next questions are about vaping flavoring. Have you ever, even once, vaped only flavoring without nicotine or other substances added?",,7
EMERGING ISSUES,613,575,"VPFLRECA, VPFLRECB",VAPFLVREC,2,TIME SINCE LAST VAPED ONLY FLAVORING,How long has it been since you last vaped only flavoring?,,8
EMERGING ISSUES,613,575,SMLIF,SYNMRJEVR,2,EVER USED SYNTHETIC MARIJUANA,"The next question is about synthetic marijuana or fake weed, also called K2 or Spice. Have you ever, even once, used synthetic marijuana or fake weed?",,6
EMERGING ISSUES,613,575,SMREC,SYNMRJREC,2,TIME SINCE LAST USED SYNTHETIC MARIJUANA,How long has it been since you last used synthetic marijuana or fake weed?,,7
EMERGING ISSUES,613,575,SMLIF,SYNSTMEVR,2,EVER USED SYNTHETIC STIMULANTS,"The next question is about synthetic stimulants that people use to get high, also called ""bath salts"" or flakka. Have you ever, even once, used these synthetic stimulants?",,6
EMERGING ISSUES,614,576,SSREC,SYNSTMREC,2,TIME SINCE LAST USED SYNTHETIC STIMULANTS,"How long has it been since you last used these synthetic stimulants, also called ""bath salts"" or flakka?",,7
IMPUTED EMERGING ISSUES,615,577,"KRATEVER, KRATREC",IRKRATREC,1,KRATOM RECENCY - IMPUTATION REVISED,,,4
IMPUTED EMERGING ISSUES,615,577,"KRATEVER, KRATREC",IIKRATREC,1,KRATOM RECENCY - IMPUTATION INDICATOR,,,3
IMPUTED EMERGING ISSUES,615,577,"VAPANYEVR, VAPANYREC",IRVAPANYREC,1,ANY VAPING RECENCY - IMPUTATION REVISED,,,4
IMPUTED EMERGING ISSUES,615,577,"VAPANYEVR, VAPANYREC",IIVAPANYREC,1,ANY VAPING RECENCY - IMPUTATION INDICATOR,,,5
IMPUTED EMERGING ISSUES,615,577,"VAPNICEVR, VAPNICREC",IRVAPNICREC,1,NICOTINE OR TOBACCO VAPING RECENCY - IMPUTATION REVISED,,,4
IMPUTED EMERGING ISSUES,615,577,"VAPNICEVR, VAPNICREC",IIVAPNICREC,1,NICOTINE OR TOBACCO VAPING RECENCY - IMPUTATION INDICATOR,,,4
